"subject";"identifier";"type";"creator";"title";"volume";"edition";"publisher";"year";"format";"ISBN";"ISSN";"ISMN";"EAN/UPC";"binding/price";"language";"country";"date of publication";"description";"collective title";"links";"relation";"rights";"subject headings";"connected titles";"uniform title";"frequency";"wv number"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-96966-398-1 Broschur : EUR 12.99 (DE), EUR 13.40 (AT), CHF 13.98 (freier Preis), 3-96966-398-9, IDN:1225057140";"";"Hirtzy, Michael [Verfasser]";"Countdown zum Untergang / Michael Hirtzy";"";"1. Auflage";"Wien : Michael Hirtzy; Vachendorf : Nova MD";"2021";"229 Seiten ; 20 cm";"978-3-96966-398-1";"";"";"";"Broschur : EUR 12.99 (DE), EUR 13.40 (AT), CHF 13.98 (freier Preis)";"ger";"XA-AT";"";"";"Michael Hirtzy: Bilder der Apokalypse : Verfasser : April 2021- ; Teil 2";"";"http://d-nb.info/1238534007";"";"";"";"";"";"21,N03 , 21,B33"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-257-07161-0 Gewebe : circa EUR 24.00 (DE), circa EUR 24.70 (AT), circa CHF 32.00 (freier Preis), 3-257-07161-2, IDN:1223789136";"";"Tevis, Walter S. [Verfasser] ; Meier, Gerhard [Übersetzer]";"[The queen's gambit] ; Das Damengambit : Roman / Walter Tevis ; aus dem Amerikanischen von Gerhard Meier";"";"";"Zürich : Diogenes";"2021";"413 Seiten ; 19 cm";"978-3-257-07161-0";"";"";"";"Gewebe : circa EUR 24.00 (DE), circa EUR 24.70 (AT), circa CHF 32.00 (freier Preis)";"ger";"XA-CH";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4b5ab0a5f0424ca7b9d072523a002bf4&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als Walter S. Tevis: Das Damengambit";"The queen's gambit";"";"20,N52 , 21,A37"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-311-15035-0 Broschur : circa EUR 13.00 (DE), circa EUR 13.30 (AT), circa CHF 18.00 (freier Preis), 3-311-15035-X, IDN:1231296712";"";"Boyd, William [Verfasser] ; Hirte, Chris [Übersetzer]";"[Boyd] ; Einfache Gewitter : Roman / William Boyd ; aus dem Englischen von Chris Hirte";"";"";"Zürich : Kampa";"2021";"520 Seiten ; 19 cm";"978-3-311-15035-0";"";"";"";"Broschur : circa EUR 13.00 (DE), circa EUR 13.30 (AT), circa CHF 18.00 (freier Preis)";"ger";"XA-CH";"";"";"Kampa Pocket";"";"";"";"";"";"William Boyd: Ordinary thunderstorms";"";"21,N16 , 23,A14"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-96966-397-4 Broschur : EUR 12.99 (DE), EUR 13.40 (AT), CHF 13.98 (freier Preis), 3-96966-397-0, IDN:1225057213";"";"Hirtzy, Michael [Verfasser]";"Vor dem Abgrund / Michael Hirtzy";"";"2. Auflage";"Wien : Michael Hirtzy; Vachendorf : Nova MD";"2021";"234 Seiten ; 19 cm";"978-3-96966-397-4";"";"";"";"Broschur : EUR 12.99 (DE), EUR 13.40 (AT), CHF 13.98 (freier Preis)";"ger";"XA-AT";"";"";"Michael Hirtzy: Bilder der Apokalypse : Verfasser : April 2021- ; Teil 1";"";"http://d-nb.info/1238534007";"";"";"";"";"";"21,N03 , 21,B33"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-96698-284-9 Broschur : EUR 15.99 (DE), EUR 16.50 (AT), CHF 16.89 (freier Preis), 3-96698-284-6, IDN:1206486430";"";"Barz, Helmut [Verfasser]";"Brumm : eine schwarz/weisse Fabel für das postfaktische Zeitalter / Helmut Barz";"";"Originalausgabe";"Offenbach am Main : Helmut Barz";"2020";"429 Seiten ; 22 cm";"978-3-96698-284-9";"";"";"";"Broschur : EUR 15.99 (DE), EUR 16.50 (AT), CHF 16.89 (freier Preis)";"ger";"XA-DE-HE";"";"";"";"";"";"";"";"";"";"";"20,N12 , 20,B40"
"891.8 Slawische Literatur ; B Belletristik";"ISBN:978-3-7306-0912-5 Festeinband, 3-7306-0912-2, IDN:1207852341";"";"Bulgakov, Michail [Verfasser] ; Berlina, Alexandra [Übersetzer]";"[Bulgakov] ; Der Meister und Margarita / Michail Bulgakow ; aus dem Russischen neu übersetzt und mit einem Nachwort von Alexandra Berlina";"";"";"[Köln] : Anaconda";"2020";"570 Seiten ; 20 cm, 485 g";"978-3-7306-0912-5";"";"";"";"Festeinband";"ger";"XA-DE-NW";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4d82c886b11b435e965476081df7a71d&prov=M&dok_var=1&dok_ext=htm]; Inhaltsverzeichnis [http://d-nb.info/1207852341/04]";"";"";"";"Erscheint auch als Michail Bulgakov: Meister und Margarita";"Michail Bulgakov: Master i Margarita";"";"20,N17 , 20,A44"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-431-04128-6 Broschur : EUR 16.90 (DE), EUR 17.40 (AT), CHF 21.70 (freier Preis), 3-431-04128-0, IDN:1185900411";"";"Eschbach, Andreas [Verfasser]";"Eine Billion Dollar : Roman / Andreas Eschbach";"";"Vollständige Paperbackausgabe";"Köln : Lübbe";"2020";"887 Seiten ; 22 cm";"978-3-431-04128-6";"";"";"";"Broschur : EUR 16.90 (DE), EUR 17.40 (AT), CHF 21.70 (freier Preis)";"ger";"XA-DE";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=66adc0dcfae6473398239ee735b10587&prov=M&dok_var=1&dok_ext=htm]";"";"";"New York, NY ; Italienischer Einwanderer ; Erbschaft ; Milliardär ; Belletristische Darstellung";"Erscheint auch als: ISBN: 9783404150403; Erscheint auch als: ISBN: 9783838700571; Erscheint auch als: ISBN: 9783838760476; Erscheint auch als: ISBN: 9783785752074";"";"";"19,N20 , 20,A04"
"890 Literatur in anderen Sprachen ; B Belletristik";"ISBN:978-3-498-00126-1 Festeinband : EUR 20.00 (DE), EUR 20.60 (AT), 3-498-00126-4, IDN:1185426035";"";"Tuomainen, Antti [Verfasser] ; Wagner, Niina [Übersetzer] ; Wagner, Jan Costin [Übersetzer]";"[Pikku Siperia] ; Klein-Sibirien : Roman / Antti Tuomainen ; aus dem Finnischen von Niina Katariina Wagner und Jan Costin Wagner";"";"Deutsche Erstausgabe";"Hamburg : Rowohlt Hundert Augen";"2020";"318 Seiten ; 21 cm, 401 g";"978-3-498-00126-1";"";"";"";"Festeinband : EUR 20.00 (DE), EUR 20.60 (AT)";"ger";"XA-DE-HH";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=0978c6dda7d54d59b1552334354be696&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als: ISBN: 9783499001468; Erscheint auch als: ISBN: 9783644004092";"Pikku Siperia";"";"19,N20 , 20,A10"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-426-52432-9 Broschur : EUR 12.99 (DE), EUR 13.40 (AT), 3-426-52432-5, IDN:1182453155";"";"Bruce, Camilla [Verfasser] ; Schnell, Carina [Übersetzer]";"[You let me in] ; Pepper-Man : Roman / Camilla Bruce ; aus dem amerikanischen Englisch von Carina Schnell";"";"Deutsche Erstausgabe";"München : Knaur";"2020";"251 Seiten ; 21 cm, 271 g";"978-3-426-52432-9";"";"";"";"Broschur : EUR 12.99 (DE), EUR 13.40 (AT)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=a85d13477b074f2cac6cd29fdc092fba&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als: ISBN: 9783426524336; Erscheint auch als: ISBN: 9783426455326";"You let me in";"";"19,N15 , 20,A42"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-8479-0059-7 Broschur : EUR 12.00 (DE), EUR 12.40 (AT), CHF 16.50 (freier Preis), 3-8479-0059-5, IDN:1208988824";"";"Edugyan, Esi [Verfasser] ; Assaf, Anabelle [Übersetzer]";"[Edugyan] ; Washington Black : Roman / Esi Edugyan ; aus dem kanadischen Englisch von Anabelle Asaf";"";"Vollständige Taschenbuchausgabe";"Köln : Eichborn";"2020";"508 Seiten ; 19 cm";"978-3-8479-0059-7";"";"";"";"Broschur : EUR 12.00 (DE), EUR 12.40 (AT), CHF 16.50 (freier Preis)";"ger";"XA-DE-NW";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=f33e64ee305a4863b0bdb012bdc5b2c5&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als: ISBN: 9783847906650; Erscheint auch als: ISBN: 9783732578429; Erscheint auch als: ISBN: 9783838793146; Erscheint auch als: ISBN: 9783785781814";"Esi Edugyan: Washington Black";"";"20,N18 , 20,A46"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-596-29884-6 Festeinband : circa EUR 19.99 (DE), circa EUR 20.60 (AT), 3-596-29884-9, IDN:1156553970";"";"McGuire, Seanan [Verfasser] ; Layer, Ilse [Übersetzer]";"Der Atem einer anderen Welt / Seanan McGuire ; aus dem amerikanischen Englisch von Ilse Layer";"";"";"Frankfurt am Main : FISCHER Tor";"2019";"461 Seiten ; 22 cm, 655 g";"978-3-596-29884-6";"";"";"";"Festeinband : circa EUR 19.99 (DE), circa EUR 20.60 (AT)";"ger";"XA-DE-HE";"";"";"";"";"";"";"";"Erscheint auch als Seanan McGuire: Der Atem einer anderen Welt";"";"";"18,N18 , 19,A11"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-351-03780-2 Festeinband : EUR 28.00 (DE), EUR 28.80 (AT), 3-351-03780-5, IDN:1171920962";"";"Ellison, Ralph [Verfasser] ; Goyert, Georg [Übersetzer] ; Oeser, Hans-Christian [Mitwirkender]";"[Ellison] ; Der unsichtbare Mann : Roman / Ralph Ellison ; aus dem Amerikanischen von Georg Goyert, vollständig neu überarbeitet von Hans-Christian Oeser";"";"1. Auflage";"Berlin : Aufbau";"2019";"680 Seiten ; 22 cm, 838 g";"978-3-351-03780-2";"";"";"";"Festeinband : EUR 28.00 (DE), EUR 28.80 (AT)";"ger";"XA-DE-BE";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=0f0a0a9d710d465080629110cb6d7297&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als Ralph Ellison: Der unsichtbare Mann";"Ralph Ellison: Invisible man";"";"18,N48 , 19,A18"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-492-28198-0 Broschur : EUR 12.00 (DE), EUR 12.40 (AT), CHF 16.50 (freier Preis), 3-492-28198-2, IDN:1169591035";"";"Pratchett, Terry [Verfasser] ; Brandhorst, Andreas [Übersetzer]";"Gevatter Tod";"";"Ungekürzte Taschenbuchausgabe";"München : Piper";"2019";"327, 286 Seiten ; 19 cm, 433 g";"978-3-492-28198-0";"";"";"";"Broschur : EUR 12.00 (DE), EUR 12.40 (AT), CHF 16.50 (freier Preis)";"ger";"XA-DE-BY";"";"";"Piper Fantasy";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=9f97a7db16b34604901f9963b0e2fb15&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"";"Pratchett";"";"18,N44 , 19,A25"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-453-44032-6 Broschur : EUR 10.99 (DE), EUR 11.30 (AT), CHF 16.90 (freier Preis), 3-453-44032-3, IDN:1173519769";"";"Harris, Thomas [Verfasser] ; Bitz, Ulrich [Übersetzer]";"[Harris] ; Hannibal : Thriller / Thomas Harris ; aus dem Amerikanischen von Ulrich Bitz";"";"Vollständige deutsche Taschenbuchausgabe";"München : Wilhelm Heyne Verlag";"2019";"555 Seiten ; 19 cm";"978-3-453-44032-6";"";"";"";"Broschur : EUR 10.99 (DE), EUR 11.30 (AT), CHF 16.90 (freier Preis)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=45946170b6a5441fb3c16c965228a391&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als: ISBN: 9783453437401; Erscheint auch als: ISBN: 9783641191818, Vorangegangen ist";"Thomas Harris: Hannibal";"";"18,N51 , 19,A26"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-453-44087-6 Broschur : EUR 9.99 (DE), EUR 10.30 (AT), CHF 14.50 (freier Preis), 3-453-44087-0, IDN:1173927425";"";"Harris, Thomas [Verfasser] ; Leeb, Sepp [Übersetzer]";"[Harris] ; Hannibal rising : Thriller / Thomas Harris ; aus dem Amerikanischen von Sepp Leeb";"";"Vollständige deutsche Taschenbuchausgabe";"München : Wilhelm Heyne Verlag";"2019";"349 Seiten ; 19 cm";"978-3-453-44087-6";"";"";"";"Broschur : EUR 9.99 (DE), EUR 10.30 (AT), CHF 14.50 (freier Preis)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=fc429b5908ec4ea7aec4a6e10c9f16d2&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als: ISBN: 9783453437418; Erscheint auch als: ISBN: 9783641197544; Erscheint auch als: ISBN: 9783837180442, Vorangegangen ist";"Thomas Harris: Hannibal rising";"";"19,N01 , 19,A26"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-596-52214-9 Festeinband : EUR 12.00 (DE), EUR 12.40 (AT), 3-596-52214-5, IDN:1156556074";"";"Golding, William [Verfasser] ; Torberg, Peter [Übersetzer]";"[Golding] ; Herr der Fliegen : Roman / William Golding ; neu übersetzt von Peter Torberg";"";"";"Frankfurt am Main : FISCHER Taschenbuch";"2019";"315 Seiten ; 15 cm, 194 g";"978-3-596-52214-9";"";"";"";"Festeinband : EUR 12.00 (DE), EUR 12.40 (AT)";"ger";"XA-DE-HE";"";"";"Fischer TaschenBibliothek";"Inhaltsverzeichnis [http://d-nb.info/1156556074/04]";"";"";"";"Erscheint auch als: ISBN: 9783104036670";"William Golding: Lord of the flies";"";"18,N18 , 19,A21"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-95757-766-5 Festeinband : circa EUR 28.00 (DE), circa EUR 28.80 (AT), 3-95757-766-7, IDN:1185294228";"";"Newman, Sandra [Verfasser] ; Adam, Milena [Übersetzer]";"[Newman] ; Ice cream star : Roman / Sandra Newman ; aus dem Englischen von Milena Adam";"";"Erste Auflage";"Berlin : Matthes & Seitz Berlin";"2019";"667 Seiten ; 22 cm, 950 g";"978-3-95757-766-5";"";"";"";"Festeinband : circa EUR 28.00 (DE), circa EUR 28.80 (AT)";"ger";"XA-DE-BE";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=054906d08d684b4db1c2360e69d06c77&prov=M&dok_var=1&dok_ext=htm]; Inhaltsverzeichnis [http://d-nb.info/1185294228/04]";"";"";"";"Erscheint auch als: ISBN: 9783957578150";"Sandra Newman: The country of ice cream star";"";"19,N19 , 19,A37"
"K Kinder- und Jugendliteratur";"ISBN:978-3-96177-048-9 Gewebe : EUR 24.00 (DE), EUR 24.70 (AT), 3-96177-048-4, IDN:1182350445";"";"Egerkrans, Johan [Verfasser] [Illustrator] ; Dörries, Maike [Übersetzer]";"[Nordiska gudar] ; Nordische Götter / aufgezeichnet und illustriert von Johan Egerkrans ; aus dem Schwedischen von Maike Dörries";"";"Deutsche Erstausgabe, 1. Auflage";"[Hamburg] : Woow Books";"2019";"159 Seiten : Illustrationen ; 27 cm";"978-3-96177-048-9";"";"";"";"Gewebe : EUR 24.00 (DE), EUR 24.70 (AT)";"ger";"XA-DE";"";"";"";"Inhaltsverzeichnis [http://d-nb.info/1182350445/04]";"";"";"";"Erscheint auch als Johan Egerkrans: Nordische Götter";"Nordiska gudar";"";"19,N15 , 19,A50 , 04,P01-s-51"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-453-44086-9 Broschur : EUR 9.99 (DE), EUR 10.30 (AT), CHF 14.50 (freier Preis), 3-453-44086-2, IDN:1173519327";"";"Harris, Thomas [Verfasser] ; Leeb, Sepp [Übersetzer]";"[Harris] ; Roter Drache : Thriller / Thomas Harris ; aus dem Amerikanischen von Sepp Leeb";"";"Vollständige deutsche Taschenbuchausgabe";"München : Wilhelm Heyne Verlag";"2019";"507 Seiten ; 19 cm";"978-3-453-44086-9";"";"";"";"Broschur : EUR 9.99 (DE), EUR 10.30 (AT), CHF 14.50 (freier Preis)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=06aa3335aa564d57ad4155522d5a32f2&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als: ISBN: 9783453437425; Erscheint auch als: ISBN: 9783641215743, Vorangegangen ist";"Thomas Harris: Red dragon";"";"18,N51 , 19,A26"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-426-52260-8 Broschur : EUR 9.99 (DE), EUR 10.30 (AT), 3-426-52260-8, IDN:1155492714";"";"Tomlinson, Patrick S. [Verfasser] ; Hoffmann, Oliver [Übersetzer]";"[Trident's forge] ; The colony : ein neuer Anfang : Roman / Patrick S. Tomlinson ; aus dem Amerikanischen von Oliver Hoffmann";"";"Deutsche Erstausgabe";"München : Knaur";"2019";"528 Seiten ; 19 cm";"978-3-426-52260-8";"";"";"";"Broschur : EUR 9.99 (DE), EUR 10.30 (AT)";"ger";"XA-DE";"";"";"";"";"";"";"";"Erscheint auch als: ISBN: 9783426451915";"Trident's forge";"";"18,N15 , 19,A46"
"796 Sport";"ISBN:978-3-492-31262-2 Broschur : EUR 10.00 (DE), EUR 10.30 (AT), CHF 13.90 (freier Preis), 3-492-31262-4, IDN:1142558754";"";"Kuhlhoff, Benjamin [Verfasser] ; Behnisch, Ilja [Verfasser]";"Alles Amateure : warum die Kreisliga unsere wahre Liebe ist / Benjamin Kuhlhoff & Ilja Behnisch";"";"Originalausgabe";"München : Piper";"2018";"206 Seiten ; 19 cm, 221 g";"978-3-492-31262-2";"";"";"";"Broschur : EUR 10.00 (DE), EUR 10.30 (AT), CHF 13.90 (freier Preis)";"ger";"XA-DE-BY";"";"";"Piper ; 31262";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=e7904da444bc4b199845f3d25530502d&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/015122727";"";"";"Erscheint auch als: ISBN: 9783492979634; Erscheint auch als Benjamin Kuhlhoff: Alles Amateure";"";"";"17,N44 , 18,A17"
"";"URN:urn:nbn:de:101:1-2018022513764, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2018022513764, URL:http://d-nb.info/1153327554/34, URL:http://www.randomhouse.de/book/edition.rhd?isbn=9783641231309, ISBN:978-3-641-23130-9, IDN:1153327554";"Online-Ressource";"Hogan, James P. [Verfasser] ; Körber, Joachim [Übersetzer]";"[Code of the Lifemaker] ; Der Schöpfungscode : Roman / James P. Hogan";"";"";"München : Heyne Verlag";"2018";"Online-Ressourcen";"978-3-641-23130-9";"";"";"";"";"ger";"XA-DE-BY";"";"";"";"";"";"";"";"Erscheint auch als James P. Hogan: Der Schöpfungscode";"Code of the Lifemaker";"";"18,O03"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-426-51780-2 Broschur : EUR 10.99 (DE), EUR 11.30 (AT), 3-426-51780-9, IDN:1144215242";"";"Heitz, Markus [Verfasser]";"Des Teufels Gebetbuch : Roman / Markus Heitz";"";"Vollständige Taschenbuchausgabe";"München : Knaur";"2018";"671 Seiten ; 19 cm";"978-3-426-51780-2";"";"";"";"Broschur : EUR 10.99 (DE), EUR 11.30 (AT)";"ger";"XA-DE-BY";"";"";"Knaur ; 51780";"";"http://d-nb.info/015116468";"";"";"Erscheint auch als: ISBN: 9783426434529";"";"";"17,N47 , 18,A16"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-499-27250-9 Broschur : EUR 9.99 (DE), EUR 10.30 (AT), 3-499-27250-4, IDN:1147602158";"";"Harper, Jane [Verfasser] ; Wasel, Ulrike [Übersetzer] ; Timmermann, Klaus [Übersetzer]";"[Harper] ; Hitze : Thriller / Jane Harper ; aus dem Englischen von Ulrike Wasel und Klaus Timmermann";"";"";"Reinbek bei Hamburg : Rowohlt Taschenbuch Verlag";"2018";"380 Seiten ; 19 cm";"978-3-499-27250-9";"";"";"";"Broschur : EUR 9.99 (DE), EUR 10.30 (AT)";"ger";"XA-DE-SH";"";"";"Rororo ; 27250";"";"http://d-nb.info/010429638";"";"";"Erscheint auch als: ISBN: 9783644224117";"Jane Harper: The dry";"";"17,N49 , 18,A32"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-96188-017-1 Broschur : EUR 13.95 (DE), EUR 14.40 (AT), 3-96188-017-4, IDN:1135946264";"";"Aldiss, Brian Wilson [Verfasser] ; Blendl, Andrea [Übersetzer]";"[Non-stop] ; Starship - verloren im Weltraum / Brian Aldiss ; deutschsprachige Übersetzung: Andrea Blendl";"";"1. Auflage";"Frankfurt am Main : Mantikore Verlag";"2018";"344 Seiten ; 21 cm";"978-3-96188-017-1";"";"";"";"Broschur : EUR 13.95 (DE), EUR 14.40 (AT)";"ger";"XA-DE-HE";"";"";"";"";"";"";"";"Erscheint auch als Brian Wilson Aldiss: Starship - Verloren im Weltraum";"Non-stop";"";"17,N27 , 18,A42"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-426-65440-8 Festeinband, IDN:1138570095";"";"Hodgson, Antonia [Verfasser] ; Rebernik-Heidegger, Sonja [Übersetzer]";"[A death at Fountains Abbey] ; Das Sündenhaus : historischer Thriller / Antonia Hodgson ; aus dem Englischen von Sonja Rebernik-Heidegger";"";"";"München : Knaur";"2017";"413 Seiten ; 22 cm";"978-3-426-65440-8";"";"";"";"Festeinband";"ger";"XA-DE";"";"";"";"";"";"";"";"Erscheint auch als Antonia Hodgson: Das Sündenhaus";"A death at Fountains Abbey";"";"18,A21"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-86282-473-1 Broschur : circa EUR 13.00 (DE), circa EUR 13.40 (AT), circa CHF 14.00 (freier Preis), 3-86282-473-X, IDN:1115885677";"";"Wilckens, Carl [Verfasser]";"Das Tagebuch / Carl Wilckens";"";"Originalausgabe";"Hamburg : acabus";"2017";"255 Seiten ; 21 cm";"978-3-86282-473-1";"";"";"";"Broschur : circa EUR 13.00 (DE), circa EUR 13.40 (AT), circa CHF 14.00 (freier Preis)";"ger";"XA-DE-HH";"";"";"Carl Wilckens: 13 : Verfasser : [2017]- ; Band 1";"";"http://d-nb.info/1155016270";"";"";"Erscheint auch als: ISBN: 9783862824748; Erscheint auch als: ISBN: 9783862824755";"";"";"16,N42 , 18,A21"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-426-51507-5 Broschur, IDN:1140645323";"";"Hodgson, Antonia [Verfasser] ; Volk, Katharina [Übersetzer] ; Rebernik-Heidegger, Sonja [Übersetzer]";"[The last confession of Thomas Hawkins] ; Der Galgenvogel : historischer Thriller / Antonia Hodgson ; aus dem Englischen von Katharina Volk und Sonja Rebernik-Heidegger";"";"Vollständige Taschenbuchausgabe";"München : Knaur Taschenbuch";"2017";"459 Seiten ; 19 cm";"978-3-426-51507-5";"";"";"";"Broschur";"ger";"XA-DE";"";"";"Knaur ; 51507";"";"http://d-nb.info/015116468";"";"";"";"The last confession of Thomas Hawkins";"";"17,A45"
"839 Literatur in anderen germanischen Sprachen ; B Belletristik";"ISBN:978-1-5420-4969-6 Broschur : EUR 9.99 (DE), EUR 7.99 (DE) (Subskriptionspreis bis 11.12.2017), 1-5420-4969-5, IDN:114438592X";"";"Stefán Máni [Verfasser] ; Wetzig, Karl-Ludwig [Übersetzer]";"[Nautið] ; Der Stier und das Mädchen : ein Island-Thriller / Stefán Máni ; aus dem Isländischen von Karl-Ludwig Wetzig";"";"Deutsche Erstveröffentlichung";"Luxembourg : Edition M";"2017";"239 Seiten ; 19 cm, 299 g";"978-1-5420-4969-6";"";"";"";"Broschur : EUR 9.99 (DE), EUR 7.99 (DE) (Subskriptionspreis bis 11.12.2017)";"ger";"XA-LU";"";"";"";"";"";"";"";"";"Nautið";"";"17,N47 , 94,P01"
"K Kinder- und Jugendliteratur";"ISBN:978-3-649-67127-5 Broschur : EUR 14.95 (DE), EUR 15.40 (AT), sfr 21.00 (freier Preis), 3-649-67127-1, IDN:1100707190";"";"Puhlfürst, Claudia [Verfasser]";"Fürchte die Nacht / Claudia Puhlfürst";"";"[1. Auflage]";"Münster : Coppenrath";"2017";"363 Seiten : Illustrationen ; 21 cm";"978-3-649-67127-5";"";"";"";"Broschur : EUR 14.95 (DE), EUR 15.40 (AT), sfr 21.00 (freier Preis)";"ger";"XA-DE-NW";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=f38d50c8213846c181f82a8d76bb110d&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als Claudia Puhlfürst: Fürchte die Nacht";"";"";"16,N21 , 17,A25"
"839 Literatur in anderen germanischen Sprachen ; B Belletristik";"URN:urn:nbn:de:101:1-20170117433, URL:http://nbn-resolving.de/urn:nbn:de:101:1-20170117433, URL:http://d-nb.info/1123573662/34, ISBN:978-3-7325-3874-4, IDN:1123573662";"Online-Ressource";"Ajvide Lindqvist, John [Verfasser]";"Im Verborgenen : . / John Ajvide Lindqvist";"";"";"Köln : beBEYOND by Bastei Entertainment";"2017";"Online-Ressource";"978-3-7325-3874-4";"";"";"";"";"ger";"XA-DE-NW";"";"";"";"";"";"";"";"Erscheint auch als John Ajvide Lindqvist: Im Verborgenen";"";"";"17,O02"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-499-29078-7 Broschur : EUR 9.99 (DE), EUR 10.30 (AT), 3-499-29078-2, IDN:1119918960";"";"Stricker, Sven [Verfasser]";"Mensch, Rüdiger! : Roman / Sven Stricker";"";"Originalausgabe";"Reinbek bei Hamburg : Rowohlt Taschenbuch Verlag";"2017";"414 Seiten ; 19 cm";"978-3-499-29078-7";"";"";"";"Broschur : EUR 9.99 (DE), EUR 10.30 (AT)";"ger";"XA-DE-SH";"";"";"Rororo ; 29078";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=cba090d8cd8a448da16edac88fa58ab5&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/010429638";"";"";"Erscheint auch als Sven Stricker: Mensch, Rüdiger!";"";"";"16,N48 , 18,A21"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-426-52073-4 Broschur : EUR 10.99 (DE), EUR 11.30 (AT), 3-426-52073-7, IDN:1119348005";"";"Bradbury, Ray [Verfasser] ; Plaschka, Oliver [Übersetzer]";"S is for space : meisterhafte Storys / Ray Bradbury ; aus dem Amerikanischen von Oliver Plaschka";"";"Deutsche Erstausgabe";"München : Knaur";"2017";"284 Seiten ; 19 cm";"978-3-426-52073-4";"";"";"";"Broschur : EUR 10.99 (DE), EUR 11.30 (AT)";"ger";"XA-DE-BY";"";"";"Knaur ; 52073";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=7c7af1b005044bb6aecae3efd1a6d108&prov=M&dok_var=1&dok_ext=htm]; Inhaltsverzeichnis [http://d-nb.info/1119348005/04]";"http://d-nb.info/015116468";"";"";"";"";"";"16,N47 , 18,A10"
